id,datetime,title,street,lat,lon,severity,road_users,summary,url,source
651648,2026-09-04 9:30:34 +02:00,"4 september 06.53, Trafikolycka, Göteborg",E45,57.7072326,11.9670171,minor,,"Polis, ambulans och räddningstjänst larmas till en trafikolycka på E45, i höjd med Agnesberg.",https://polisen.se/aktuellt/handelser/2026/september/4/4-september-06.53-trafikolycka-goteborg/,POLICE_API
651424,2026-09-02 14:32:22 +02:00,"2 september 13.41, Trafikolycka, Göteborg",Hisingsleden,57.7225116,11.8661669,minor,Car,Lastbil i singelolycka på Hisingsleden.,https://polisen.se/aktuellt/handelser/2026/september/2/2-september-13.41-trafikolycka-goteborg/,POLICE_API
650699,2026-08-26 21:16:16 +02:00,"26 augusti 20.58, Trafikolycka, Göteborg",Hisingsbron,57.7148956,11.9678707,minor,,Larm inkommer via SOS om en trafikolycka på Hisingsbron. Det ska röra sig om en sammanstötning mellan en perso,https://polisen.se/aktuellt/handelser/2026/augusti/26/26-augusti-20.58-trafikolycka-goteborg/,POLICE_API
650334,2026-08-23 13:40:28 +02:00,"23 augusti 13.26, Trafikolycka, Göteborg",Polhemsplatsen,57.7083817,11.9775033,minor,,Flera bilar involverade i olycka vid Polhemsplatsen.,https://polisen.se/aktuellt/handelser/2026/augusti/23/23-augusti-13.26-trafikolycka-goteborg/,POLICE_API
649617,2026-08-16 13:55:59 +02:00,"16 augusti 13.34, Trafikolycka, Göteborg",Agnesbergsmotet,57.7875996,12.0234669,minor,Car,Larm inkommer via SOS om en trafikolycka på E45 vid Agnesbergsmotet. Det ska vara två personbilar som sammanst,https://polisen.se/aktuellt/handelser/2026/augusti/16/16-augusti-13.34-trafikolycka-goteborg/,POLICE_API
647985,2026-07-27 15:30:42 +02:00,"27 juli 15.17, Trafikolycka, Göteborg",Munkebäcksmotet,57.7241823,12.0249514,minor,Car|Bus,En buss och en personbil är involverade i en olycka på E20 vid Munkebäcksmotet.,https://polisen.se/aktuellt/handelser/2026/juli/27/27-juli-15.17-trafikolycka-goteborg/,POLICE_API
647201,2026-07-17 10:58:41 +02:00,"17 juli 10.40, Trafikolycka, Göteborg",Övre Storåsvägen,57.7946142,12.04699,minor,,Två fordon är involverade i en olycka vid Övre Storåsvägen.,https://polisen.se/aktuellt/handelser/2026/juli/17/17-juli-10.40-trafikolycka-goteborg/,POLICE_API
647048,2026-07-15 11:43:51 +02:00,"15 juli 11.25, Trafikolycka, Göteborg",E6,57.7072326,11.9670171,minor,Car,En lastbil och en personbil har varit involverade i en olycka vid Gnistängstunneln på E6.,https://polisen.se/aktuellt/handelser/2026/juli/15/15-juli-11.25-trafikolycka-goteborg/,POLICE_API
646955,2026-07-14 12:50:20 +02:00,"14 juli 11.22, Trafikolycka, Göteborg",Stora Badhusgatan,57.7047837,11.9576456,minor,Car|Tram,En personbil och en spårvagn har kolliderat på Stora Badhusgatan.,https://polisen.se/aktuellt/handelser/2026/juli/14/14-juli-11.22-trafikolycka-goteborg/,POLICE_API
644126,2026-06-26 16:29:11 +02:00,"26 juni 15.29, Trafikolycka, Göteborg",E6,57.7072326,11.9670171,minor,Pedestrian,"Trafikolycka E6 Trafikplats Kallebäcksmotet, Norrgående",https://polisen.se/aktuellt/handelser/2026/juni/26/26-juni-15.29-trafikolycka-goteborg/,POLICE_API
643953,2026-06-25 10:16:09 +02:00,"25 juni 09.03, Trafikolycka, Göteborg",Engelbrektsgatan,57.6989996,11.9778089,minor,,Larm inkommer via SOS om en trafikolycka på Engelbrektsgatan.,https://polisen.se/aktuellt/handelser/2026/juni/25/25-juni-09.03-trafikolycka-goteborg/,POLICE_API
643730,2026-06-23 15:26:17 +02:00,"23 juni 14.56, Trafikolycka, Göteborg",Hästeviksgatan,57.6797316,11.8745406,minor,,Larm inkommer via SOS om en trafikolycka på Hästeviksgatan. Det ska röra sig om en sammanstötning mellan en pe,https://polisen.se/aktuellt/handelser/2026/juni/23/23-juni-14.56-trafikolycka-goteborg/,POLICE_API
639982,2026-05-31 14:37:07 +02:00,"31 maj 14.24, Trafikolycka, Göteborg",Svanebäcksgatan,57.6860676,11.9224456,minor,,Vi får larm om en påkörd person vid Svanebäcksgatan.,https://polisen.se/aktuellt/handelser/2026/maj/31/31-maj-14.24-trafikolycka-goteborg/,POLICE_API
636474,2026-05-27 10:01:25 +02:00,"27 maj 07.50, Trafikolycka, Göteborg",Oscarsleden,57.6974429,11.9261798,minor,,Två fordon kolliderar på Oscarsleden i riktning mot Järntorget.,https://polisen.se/aktuellt/handelser/2026/maj/27/27-maj-07.50-trafikolycka-goteborg/,POLICE_API
