id,lat,lon,severity,road_users,near,source
SYN-1,57.705125,11.9657,minor,Car|Cyclist,Brunnsparken,SYNTHETIC_SAMPLE
SYN-2,57.708682,11.968914,severe,Car,Brunnsparken,SYNTHETIC_SAMPLE
SYN-3,57.695159,11.94875,minor,Tram|Pedestrian,Jarntorget,SYNTHETIC_SAMPLE
SYN-4,57.69801,11.95249,fatal,Tram|Pedestrian,Jarntorget,SYNTHETIC_SAMPLE
SYN-5,57.697098,11.951594,minor,Car,Jarntorget,SYNTHETIC_SAMPLE
SYN-6,57.698794,11.949277,minor,Pedestrian,Jarntorget,SYNTHETIC_SAMPLE
SYN-7,57.696389,11.949723,minor,Car,Jarntorget,SYNTHETIC_SAMPLE
SYN-8,57.6963,11.985372,minor,Tram|Car,Korsvagen,SYNTHETIC_SAMPLE
SYN-9,57.695723,11.982848,severe,Tram|Pedestrian,Korsvagen,SYNTHETIC_SAMPLE
SYN-10,57.695166,11.956528,severe,Cyclist,Linneplatsen,SYNTHETIC_SAMPLE
SYN-11,57.694447,11.958448,minor,Tram|Car,Linneplatsen,SYNTHETIC_SAMPLE
SYN-12,57.702623,11.970967,minor,Cyclist,Kungsportsavenyn,SYNTHETIC_SAMPLE
SYN-13,57.704026,11.977443,minor,Bus|Car,Kungsportsavenyn,SYNTHETIC_SAMPLE
SYN-14,57.70049,11.975685,minor,Car|Cyclist,Kungsportsavenyn,SYNTHETIC_SAMPLE
SYN-15,57.725876,12.018861,fatal,Car,Gamlestadstorget,SYNTHETIC_SAMPLE
SYN-16,57.724457,12.01858,severe,Car|Pedestrian,Gamlestadstorget,SYNTHETIC_SAMPLE
SYN-17,57.724917,12.016536,fatal,Tram|Pedestrian,Gamlestadstorget,SYNTHETIC_SAMPLE
SYN-18,57.725198,12.016094,minor,Car|Pedestrian,Gamlestadstorget,SYNTHETIC_SAMPLE
SYN-19,57.718225,11.999209,minor,Car|Pedestrian,Redbergsplatsen,SYNTHETIC_SAMPLE
SYN-20,57.718766,12.000537,minor,Car|Pedestrian,Redbergsplatsen,SYNTHETIC_SAMPLE
SYN-21,57.721278,11.960816,severe,Car|Cyclist,Backaplan,SYNTHETIC_SAMPLE
SYN-22,57.720624,11.955473,severe,Tram|Pedestrian,Backaplan,SYNTHETIC_SAMPLE
SYN-23,57.720614,11.958177,severe,Bus|Car,Backaplan,SYNTHETIC_SAMPLE
SYN-24,57.72111,11.961479,minor,Tram|Pedestrian,Backaplan,SYNTHETIC_SAMPLE
SYN-25,57.721768,11.959546,minor,Car|Cyclist,Backaplan,SYNTHETIC_SAMPLE
SYN-26,57.65486,11.909977,minor,Bus|Car,Frolunda Torg,SYNTHETIC_SAMPLE
SYN-27,57.652808,11.914569,severe,Cyclist,Frolunda Torg,SYNTHETIC_SAMPLE
SYN-28,57.655755,11.913486,minor,Car,Frolunda Torg,SYNTHETIC_SAMPLE
SYN-29,57.784209,12.008596,minor,Car,Angered Centrum,SYNTHETIC_SAMPLE
SYN-30,57.782501,12.006648,minor,Bus|Pedestrian,Angered Centrum,SYNTHETIC_SAMPLE
